Country,Mean_Prediction,Lower_95CI,Upper_95CI
Afghanistan,34191.223,32042.42188,40727.21875
Andorra,1420.6569,592.5394897,1890.748291
Angola,10035.95,9087.121094,10824.66602
Antigua and Barbuda,-142.49104,-886.428833,1412.416504
Armenia,1032.3931,-674.9430542,5009.444336
"Bahamas, The",-284.24414,-1059.905518,393.3466492
Barbados,-1231.2927,-2066.305908,-467.1616821
Belize,4767.561,4360.036133,5353.943848
Benin,4537.466,3917.935059,5022.830566
Bermuda,301.59906,-334.9579163,667.9084473
Bolivia,12607.121,11912.61604,18917.4269
Botswana,13722.411,3012.571777,15708.82227
Brunei,-198.52922,-890.3807373,300.5446167
Burkina Faso,3455.4429,1913.827393,9636.782227
Burma,16914.404,14996.73926,23211.84961
Burundi,5479.308,4848.533203,6839.155273
Cambodia,3398.2876,2685.223633,3972.37207
Cape Verde,2401.6277,1348.181763,3271.442139
Central African Republic,8980.828,4753.276855,13354.43945
Chad,5640.6675,3914.990479,7252.631836
Comoros,43.995255,-1284.986694,980.1622925
Costa Rica,-472.87225,-1183.136597,85.42931366
Cote d'Ivoire,23103.158,22557.8418,24594.18462
Cuba,1020.5587,-1352.441766,8650.232422
Djibouti,4675.6416,2987.819092,5440.747559
Ecuador,3132.4612,119.5352976,3820.773682
El Salvador,-916.1944,-1829.251221,945.4263916
Equatorial Guinea,-189.32826,-1182.088989,269.3045654
Ethiopia,14198.152,13329.91504,15133.7207
Gabon,19998.441,18997.33008,20974.49609
Gambia,4145.3467,3476.075195,4568.543457
Greenland,1820.0248,799.7568359,2145.278564
Grenada,-1054.1975,-1699.854858,-655.9497681
Guatemala,565.6774,-1533.688599,5875.798706
Guinea,5201.0444,4090.745111,5975.01709
Guinea-Bissau,5015.2466,4080.653076,5471.547852
Guyana,5684.1055,3784.681268,6880.60791
Honduras,1068.7585,-2351.551758,3725.979492
Iraq,439.9383,-506.6220398,1037.691284
Israel,7285.0913,6305.900879,7835.394531
Jordan,1478.6871,-275.977356,4550.401184
Kenya,18113.498,3868.966919,20927.64063
Kiribati,-1674.7885,-2391.353027,-949.1229248
Kuwait,-48.871178,-605.4564209,1156.941528
Kyrgyzstan,6247.322,5742.325195,6799.002148
Laos,22585.979,21781.71094,23263.69531
Lebanon,2776.7966,2065.904541,3291.390625
Lesotho,4822.426,3828.424316,5304.802246
Libya,7498.26,7347.973145,7568.966309
Madagascar,22554.797,6827.540527,25725.25391
Malawi,4256.23,3620.97168,4849.398438
Maldives,-1101.8582,-1742.211426,-757.1089478
Mali,11461.046,10834.17383,13869.12207
Mauritius,-173.07413,-846.0744629,269.161377
"Micronesia, Federated States of",-1051.4924,-1668.569702,-694.62323
Moldova,1259.6571,-1470.027954,2487.07373
Namibia,14191.403,13982.60547,14459.02246
Nepal,3047.296,1578.103271,7537.969727
Nicaragua,3680.0967,2598.281494,5866.608398
Niger,14740.602,14376.59668,15359.43262
North Korea,22417.613,20364.35547,23127.8209
Palau,-640.9443,-1351.349121,-126.9163895
Panama,-81.28282,-614.5106812,404.5997314
Papua New Guinea,18874.27,18317.30078,19636.52539
Paraguay,1229.9146,271.06427,4642.40918
Puerto Rico,-410.34326,-1277.324463,53.12351608
Rwanda,577.6085,-22.38512039,977.3769531
Saint Kitts and Nevis,-903.1066,-2339.633057,2094.495117
Saint Vincent and the Grenadines,-1024.102,-1688.348633,-655.7200928
Samoa,-966.1649,-1611.796997,-161.0882713
San Marino,529.9367,-259.1200256,1039.768555
Sao Tome and Principe,-449.2888,-1168.091309,269.2357788
Senegal,6403.848,3098.343024,12129.38184
Somalia,6694.615,2035.596802,12448.8418
Sri Lanka,-808.6891,-1603.141113,-346.6898193
Sudan,8479.987,5882.06543,10664.28613
Swaziland,380.9701,-166.1242218,922.9056396
Syria,5735.656,5182.371582,6249.549805
Timor-Leste,3721.7563,3045.348145,4152.330078
Tonga,186.97594,-841.8136597,766.4943237
Trinidad and Tobago,-219.9789,-1091.724731,281.0890198
Turkmenistan,19870.371,19499.59375,20554.75781
Uruguay,84.72873,-587.663147,1073.017212
Uzbekistan,24335.525,23672.11914,25046.08594
Vanuatu,4203.665,2730.073975,5139.714355
Yemen,11772.205,1614.414063,21700.74805
Zambia,28188.3,18106.81445,30205.22461
Congo,26250.543,25633.62109,26604.41406
"CONGO,THE DEMOCRATIC REPUBLIC OF THE",94435.26,90325.38281,99521.90625
