Pollutant,Coal,Crude oil,Natural gas,Geothermal,Hydro,Biofuels and waste,Carbon dioxide emissions,Total Population,GDP in 2018,Area,Urban population,GDP growth,Industry,longitude,latitude,Temperature (℃）,Rainfall,Humidity,Ores and metals exports,Ores and metals imports,Adjusted savings mineral depletion ,area chu Total Population,area chu GDP in 2018 
,618942.3293,294915.2612,140496.1116,31643.26837,18985.96102,97461.26658,8.1289,36686.784,18.05322269,65.223,73.3,1.93817131,13.38724696,67.71,33.9391,15,300,40,1.209884383,1.790341779,0.038883721,0.001777834,3.612817563
,692.710549,1657.374128,1267.403745,307.8713551,5.131189252,549.03725,0.28,75.013,3.01,0.047,90,1.309772034,11.07633372,1.5211,42.5078,9,600,75,3.213027645,0.453795148,0,0.000626558,0.015614618
,55444.59647,175615,39671,1393,37347,278292,24.6503,31273.533,79.45068826,124.67,62.58105,1.397954725,47.93154185,17.8733,11.2027,26.5,800,75,2.959997799,0.659147907,0.263153434,0.003986438,1.569149402
,120.0432541,1113.128357,540.1946436,95.48895216,264.6408103,586.5749918,0.2919,91.626,1.66152963,0.044,63.9,4.409012702,20.6520988,61.7964,17.0608,27,1100,77.5,0.307319819,1.042394253,0,0.000480213,0.026481622
,29736.08385,34350.30376,90917.22189,85.44851682,5126.911009,854.4851682,5.6947,2836.557,12.45794069,2.847,8.39472,9.200000004,24.75655785,45.0382,40.0691,11.5,350,70,33.90618427,2.002705211,5.23257805,0.001003682,0.228528942
,526.5547345,4882.598447,2369.496305,418.850357,1160.813846,2572.937907,1.5268,401.906,12.6158,1.001,83,3.843659475,12.45343141,77.3963,25.0343,27,1400,77.5,3.555574144,0.732289,0,0.002490632,0.079344948
,366.4315551,3397.819874,1648.941998,291.4796461,807.8150191,1790.517826,0.7016,279.688,5.6299162,0.043,83.7,-1.374039951,13.53228402,59.5432,13.1939,27.5,1300,77.5,1.435721666,0.937157968,0,0.000153743,0.007637769
,500.5614775,4641.570064,2252.526649,398.1739026,1103.51053,2445.925401,0.2438,382.066,2.29325,2.281,15.72933,1.544928284,13.66401395,88.4976,17.1899,27,1400,80,0.532374635,0.500220096,0.005716921,0.005970173,0.994658236
,1957,100867,675,19,272.6380327,113240,8.2462,11940.683,14.26240808,11.276,68.3262,5.700311558,14.64195675,2.3158,9.3075,27,1200,80,0.221962327,0.764663679,0.01626477,0.000944335,0.790609828
,83.74178419,776.5147261,376.8380289,66.61278288,184.6125697,409.1928091,0.3088,63.918,7.168,0.0054,71,-0.680826353,5.701235971,64.7574,32.3219,24,1500,75,0.025894247,0.355240839,0,8.45E-05,0.000753348
,206,174526,159207,670,9404,42957,21.851,11606.905,40.28764793,108.33,68.5,5.264305246,26.24658947,63.5887,16.2902,20,1100,70,31.64958753,0.700980433,36.8229302,0.009333237,2.68891349
,16500,2200,100,4800,55.97228627,4000,8.1978,2451.409,17.03194319,56.673,39.58877,3.195879039,34.80032767,24.6849,22.3285,25,300,55,1.011521788,0.718604474,0.813227855,0.023118541,3.32745356
,6425,28144,124065,5,0,100,7.7185,434.274,13.5669084,0.527,78.3,0.781845039,63.24481837,114.7277,4.5353,27,2800,85,0.000352918,1.238808297,0,0.00121352,0.038844517
,31100,1800,0,13700,465.6209264,4000,4.8665,20392.723,15.89006622,27.36,32.11638,5.128331394,25.58944338,1.5616,12.2383,30,800,55,5.856068297,0.472879689,46.18496965,0.001341655,1.721830458
,36747,285517,135529,37,44154,442116,20.5,52666.014,67.86051599,65.27,58.28105,8.672309452,36.9634615,95.956,21.9139,27,2000,75,5.563241796,0,0,0.001239319,0.961825872
,20376.68456,40907.73794,27632.01922,771.8441122,2624.269981,60666.94722,0.7048,11493.472,2.6671822,2.568,39.50542,0.742683134,11.10721703,29.9181,3.3731,23.5,1200,80,8.700856378,0.885044755,0.562361869,0.000223431,0.962813864
,35422,106270,150,59,17896,135166,12.3362,16025.238,33.14589217,17.652,39.7,7.114961515,36.87142375,104.991,12.5657,28.5,1500,80,0.2739504,1.438968594,0.000115254,0.001101513,0.53255468
